DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,16.9,16.9,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,16.8,16.8,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,16.7,16.8,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,16.7,16.7,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,16.8,16.7,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,16.9,16.7,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,17.1,16.7,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,17.3,16.7,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,17.8,16.7,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,18.6,16.7,25.4,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,19.5,16.7,19.5,16.7,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,20.4,19.5,20.4,,,89,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,21.6,19.5,21.6,,,87,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,22.4,19.5,22.5,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,23.1,19.5,23.2,,,71,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,24.0,19.5,24.1,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,24.7,19.5,24.8,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,25.6,19.5,25.8,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,25.9,19.5,26.0,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,25.7,19.5,26.0,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,25.8,19.5,26.0,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,26.0,19.5,26.1,,,58,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,26.6,19.5,26.7,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,26.9,19.5,27.0,,,56,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,27.2,19.5,27.3,,,55,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:45:00,,0.0,27.3,19.5,27.4,,,56,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:00:00,,0.0,27.3,19.5,27.5,,,56,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:15:00,,0.0,27.5,19.5,27.7,,,56,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:30:00,,0.0,27.7,19.5,27.9,,,55,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:45:00,,0.0,28.0,19.5,28.1,,,55,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:00:00,,0.0,28.1,19.5,28.1,,,56,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:15:00,,0.0,28.1,19.5,28.4,,,54,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:30:00,,0.0,29.0,19.5,29.3,,,53,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:45:00,,0.0,29.1,19.5,29.3,,,53,,,,,,,,,,,,,,,,,,,,,
2024-12-01,9:00:00,,0.0,29.8,19.5,29.8,,,52,,,,,,,,,,,,,,,,,,,,,
2024-12-01,9:15:00,,0.0,29.4,19.5,30.0,,,52,,,,,,,,,,,,,,,,,,,,,
2024-12-01,9:30:00,,0.0,30.0,19.5,30.1,,,53,,,,,,,,,,,,,,,,,,,,,
2024-12-01,9:45:00,,0.0,30.7,19.5,30.8,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,10:00:00,,0.0,30.3,19.5,30.9,,,51,,,,,,,,,,,,,,,,,,,,,
2024-12-01,10:15:00,,0.0,30.5,19.5,30.9,,,52,,,,,,,,,,,,,,,,,,,,,
2024-12-01,10:30:00,,0.0,30.0,19.5,30.9,,,51,,,,,,,,,,,,,,,,,,,,,
2024-12-01,10:45:00,,0.0,29.8,19.5,30.9,,,53,,,,,,,,,,,,,,,,,,,,,
2024-12-01,11:00:00,,0.0,29.4,19.5,30.9,,,54,,,,,,,,,,,,,,,,,,,,,
2024-12-01,11:15:00,,0.0,28.7,19.5,30.9,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,11:30:00,,0.0,28.2,19.5,30.9,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-01,11:45:00,,0.0,27.8,19.5,30.9,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-01,12:00:00,,0.0,27.2,27.2,30.9,30.9,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-01,12:15:00,,0.0,26.2,26.3,27.3,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-01,12:30:00,,0.0,25.7,25.8,27.3,,,68,,,,,,,,,,,,,,,,,,,,,
2024-12-01,12:45:00,,0.0,25.3,25.3,27.3,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-01,13:00:00,,0.0,24.8,24.9,27.3,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-01,13:15:00,,0.0,24.3,24.3,27.3,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-01,13:30:00,,0.0,23.8,23.9,27.3,,,76,,,,,,,,,,,,,,,,,,,,,
2024-12-01,13:45:00,,0.0,23.5,23.6,27.3,,,77,,,,,,,,,,,,,,,,,,,,,
2024-12-01,14:00:00,,0.0,23.4,23.4,27.3,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-01,14:15:00,,0.0,23.3,23.3,27.3,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-01,14:30:00,,0.0,23.2,23.2,27.3,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-01,14:45:00,,0.0,23.3,23.2,27.3,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-01,15:00:00,,0.0,23.2,23.2,27.3,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-01,15:15:00,,0.0,23.4,23.2,27.3,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-01,15:30:00,,0.0,23.5,23.2,27.3,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-01,15:45:00,,0.0,23.4,23.2,27.3,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-01,16:00:00,,0.0,23.3,23.2,27.3,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-01,16:15:00,,0.0,23.2,23.2,27.3,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-01,16:30:00,,0.0,23.0,23.0,27.3,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-01,16:45:00,,0.0,23.0,23.0,27.3,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-01,17:00:00,,0.0,23.0,23.0,27.3,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-01,17:15:00,,0.0,22.9,22.9,27.3,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-01,17:30:00,,0.0,22.6,22.7,27.3,,,82,,,,,,,,,,,,,,,,,,,,,
2024-12-01,17:45:00,,0.0,22.3,22.3,27.3,,,82,,,,,,,,,,,,,,,,,,,,,
2024-12-01,18:00:00,,0.0,22.0,22.0,27.3,,,83,,,,,,,,,,,,,,,,,,,,,
2024-12-01,18:15:00,,0.0,21.7,21.7,27.3,,,84,,,,,,,,,,,,,,,,,,,,,
2024-12-01,18:30:00,,0.0,21.5,21.6,27.3,,,85,,,,,,,,,,,,,,,,,,,,,
2024-12-01,19:00:00,,0.0,21.2,21.2,27.3,,,87,,,,,,,,,,,,,,,,,,,,,
2024-12-01,19:15:00,,0.0,21.1,21.1,27.3,,,87,,,,,,,,,,,,,,,,,,,,,
2024-12-01,19:30:00,,0.0,21.0,21.0,27.3,,,88,,,,,,,,,,,,,,,,,,,,,
2024-12-01,19:45:00,,0.0,20.8,20.8,27.3,,,88,,,,,,,,,,,,,,,,,,,,,
2024-12-01,20:00:00,,0.0,20.7,20.7,27.3,,,88,,,,,,,,,,,,,,,,,,,,,
2024-12-01,20:15:00,,0.0,20.6,20.6,27.3,,,89,,,,,,,,,,,,,,,,,,,,,
2024-12-01,20:30:00,,0.0,20.5,20.5,27.3,,,89,,,,,,,,,,,,,,,,,,,,,
2024-12-01,20:45:00,,0.0,20.4,20.4,27.3,,,89,,,,,,,,,,,,,,,,,,,,,
2024-12-01,21:00:00,,0.0,20.2,20.2,27.3,,,89,,,,,,,,,,,,,,,,,,,,,
2024-12-01,21:15:00,,0.0,20.2,20.2,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,21:30:00,,0.0,20.3,20.2,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,21:45:00,,0.0,20.2,20.2,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,22:00:00,,0.0,20.2,20.2,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,22:15:00,,0.0,20.1,20.1,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,22:30:00,,0.0,20.1,20.1,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,22:45:00,,0.0,20.2,20.1,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,23:00:00,,0.0,20.4,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-01,23:15:00,,0.0,20.6,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-01,23:30:00,,0.0,20.7,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-01,23:45:00,,0.0,20.7,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-02,0:00:00,,0.0,20.9,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-02,0:15:00,,0.0,21.0,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-02,0:30:00,,0.0,21.1,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-02,0:45:00,,0.0,21.2,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-02,1:00:00,,0.0,21.3,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-02,1:15:00,,0.0,21.4,20.1,27.3,,,91,,,,,,,,,,,,,,,,,,,,,
2024-12-02,1:30:00,,0.0,21.4,20.1,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-02,1:45:00,,0.0,21.5,20.1,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-02,2:00:00,,0.0,21.7,20.1,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-02,2:30:00,,0.0,22.2,20.1,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-02,2:45:00,,0.0,22.7,20.1,27.3,,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-02,3:00:00,,0.0,23.0,20.1,23.0,20.1,,89,,,,,,,,,,,,,,,,,,,,,
2024-12-02,3:15:00,,0.0,23.3,23.0,23.4,,,89,,,,,,,,,,,,,,,,,,,,,
2024-12-02,3:30:00,,0.0,23.6,23.0,23.7,,,88,,,,,,,,,,,,,,,,,,,,,
2024-12-02,3:45:00,,0.0,24.2,23.0,24.3,,,86,,,,,,,,,,,,,,,,,,,,,
2024-12-02,4:00:00,,0.0,25.0,23.0,25.1,,,82,,,,,,,,,,,,,,,,,,,,,
2024-12-02,4:15:00,,0.0,25.2,23.0,25.3,,,77,,,,,,,,,,,,,,,,,,,,,
2024-12-02,4:30:00,,0.0,25.7,23.0,25.9,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-02,4:45:00,,0.0,26.1,23.0,26.2,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-02,5:30:00,,0.0,27.3,23.0,27.5,,,68,,,,,,,,,,,,,,,,,,,,,
2024-12-02,6:00:00,,0.0,27.8,23.0,28.1,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-02,6:15:00,,0.0,27.8,23.0,28.2,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-02,6:30:00,,0.0,27.8,23.0,28.2,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-02,6:45:00,,0.0,28.3,23.0,28.4,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-02,7:00:00,,0.0,28.4,23.0,28.5,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-02,7:15:00,,0.0,28.7,23.0,28.8,,,65,,,,,,,,,,,,,,,,,,,,,
2024-12-02,7:30:00,,0.0,29.2,23.0,29.3,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-02,7:45:00,,0.0,29.0,23.0,29.6,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-02,8:00:00,,0.0,29.5,23.0,29.6,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-02,8:15:00,,0.0,29.7,23.0,29.8,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-02,8:30:00,,0.0,29.9,23.0,30.1,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-02,8:45:00,,0.0,30.1,23.0,30.5,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-02,9:00:00,,0.0,30.5,23.0,30.6,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-02,9:15:00,,0.0,30.4,23.0,30.8,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-02,9:30:00,,0.0,30.6,23.0,30.8,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-02,9:45:00,,0.0,30.7,23.0,31.4,,,58,,,,,,,,,,,,,,,,,,,,,
2024-12-02,10:00:00,,0.0,30.5,23.0,31.4,,,59,,,,,,,,,,,,,,,,,,,,,
2024-12-02,10:15:00,,0.0,30.7,23.0,31.4,,,58,,,,,,,,,,,,,,,,,,,,,
2024-12-02,10:30:00,,0.0,30.1,23.0,31.4,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-02,10:45:00,,0.0,29.9,23.0,31.4,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-02,11:00:00,,0.0,29.6,23.0,31.4,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-02,11:15:00,,0.0,29.2,23.0,31.4,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-02,11:30:00,,0.0,29.1,23.0,31.4,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-02,11:45:00,,0.0,28.7,23.0,31.4,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-02,12:00:00,,0.0,28.5,28.5,31.4,31.4,,65,,,,,,,,,,,,,,,,,,,,,
2024-12-02,12:15:00,,0.0,28.1,28.1,28.6,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-02,12:30:00,,0.0,27.6,27.7,28.6,,,69,,,,,,,,,,,,,,,,,,,,,
2024-12-02,12:45:00,,0.0,27.4,27.5,28.6,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-02,13:00:00,,0.0,27.2,27.2,28.6,,,71,,,,,,,,,,,,,,,,,,,,,
2024-12-02,13:15:00,,0.0,27.1,27.1,28.6,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-02,13:30:00,,0.0,27.1,27.1,28.6,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-02,13:45:00,,0.0,27.0,27.0,28.6,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-02,14:00:00,,0.0,26.9,26.9,28.6,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-02,14:15:00,,0.0,26.9,26.9,28.6,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-02,14:30:00,,0.0,27.0,26.9,28.6,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-02,14:45:00,,0.0,26.8,26.9,28.6,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-02,15:00:00,,0.0,26.8,26.8,28.6,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-02,15:15:00,,0.0,26.8,26.8,28.6,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-02,15:30:00,,0.0,26.7,26.8,28.6,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-02,15:45:00,,0.0,26.5,26.5,28.6,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-02,16:00:00,,0.0,26.1,26.1,28.6,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-02,16:15:00,,0.0,25.8,25.9,28.6,,,75,,,,,,,,,,,,,,,,,,,,,
2024-12-02,16:30:00,,0.0,25.5,25.5,28.6,,,77,,,,,,,,,,,,,,,,,,,,,
2024-12-02,16:45:00,,0.0,25.3,25.3,28.6,,,78,,,,,,,,,,,,,,,,,,,,,
2024-12-02,17:00:00,,0.0,25.3,25.3,28.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-02,17:15:00,,0.0,25.2,25.2,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-02,17:30:00,,0.0,25.2,25.2,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-02,17:45:00,,0.0,25.0,25.1,28.6,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-02,18:00:00,,0.0,25.0,25.0,28.6,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-02,18:15:00,,0.0,24.8,24.9,28.6,,,82,,,,,,,,,,,,,,,,,,,,,
2024-12-02,18:30:00,,0.0,24.8,24.8,28.6,,,83,,,,,,,,,,,,,,,,,,,,,
2024-12-02,19:00:00,,0.0,24.7,24.7,28.6,,,84,,,,,,,,,,,,,,,,,,,,,
2024-12-02,19:15:00,,0.0,24.8,24.7,28.6,,,84,,,,,,,,,,,,,,,,,,,,,
2024-12-02,19:30:00,,0.0,24.9,24.7,28.6,,,83,,,,,,,,,,,,,,,,,,,,,
2024-12-02,19:45:00,,0.0,25.1,24.7,28.6,,,82,,,,,,,,,,,,,,,,,,,,,
2024-12-02,20:00:00,,0.0,25.2,24.7,28.6,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-02,20:15:00,,0.0,25.2,24.7,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-02,20:30:00,,0.0,25.2,24.7,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-02,20:45:00,,0.0,25.1,24.7,28.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-02,21:00:00,,0.0,24.9,24.7,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-02,21:15:00,,0.0,24.7,24.7,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-02,21:30:00,,0.0,24.8,24.7,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-02,21:45:00,,0.0,24.7,24.7,28.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-02,22:00:00,,0.0,24.8,24.7,28.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-02,22:15:00,,0.0,24.7,24.7,28.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-02,22:30:00,,0.0,24.7,24.7,28.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-02,22:45:00,,0.0,24.8,24.7,28.6,,,78,,,,,,,,,,,,,,,,,,,,,
2024-12-02,23:00:00,,0.0,24.5,24.6,28.6,,,78,,,,,,,,,,,,,,,,,,,,,
2024-12-02,23:15:00,,0.0,24.5,24.5,28.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-02,23:30:00,,0.0,24.3,24.3,28.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-02,23:45:00,,0.0,24.2,24.2,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-03,0:00:00,,0.0,24.2,24.2,28.6,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-03,0:30:00,,0.0,24.0,24.0,28.6,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-03,0:45:00,,0.0,24.1,24.0,28.6,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-03,1:00:00,,0.0,24.0,24.0,28.6,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-03,1:15:00,,0.0,23.8,23.9,28.6,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-03,1:30:00,,0.0,23.7,23.7,28.6,,,82,,,,,,,,,,,,,,,,,,,,,
2024-12-03,1:45:00,,0.0,23.6,23.6,28.6,,,83,,,,,,,,,,,,,,,,,,,,,
2024-12-03,2:00:00,,0.0,23.8,23.6,28.6,,,83,,,,,,,,,,,,,,,,,,,,,
2024-12-03,2:15:00,,0.0,24.1,23.6,28.6,,,83,,,,,,,,,,,,,,,,,,,,,
2024-12-03,2:30:00,,0.0,24.3,23.6,28.6,,,83,,,,,,,,,,,,,,,,,,,,,
2024-12-03,3:00:00,,0.0,24.5,23.6,24.6,23.6,,82,,,,,,,,,,,,,,,,,,,,,
2024-12-03,3:15:00,,0.0,24.8,24.5,24.9,,,82,,,,,,,,,,,,,,,,,,,,,
2024-12-03,3:30:00,,0.0,25.2,24.5,25.3,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-03,3:45:00,,0.0,25.6,24.5,25.7,,,81,,,,,,,,,,,,,,,,,,,,,
2024-12-03,4:00:00,,0.0,26.3,24.5,26.4,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-03,4:15:00,,0.0,27.1,24.5,27.1,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-03,4:30:00,,0.0,27.3,24.5,27.5,,,77,,,,,,,,,,,,,,,,,,,,,
2024-12-03,4:45:00,,0.0,27.9,24.5,28.1,,,75,,,,,,,,,,,,,,,,,,,,,
2024-12-03,5:00:00,,0.0,28.2,24.5,28.3,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-03,5:15:00,,0.0,28.9,24.5,29.0,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-03,5:30:00,,0.0,28.8,24.5,29.1,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-03,5:45:00,,0.0,30.1,24.5,30.2,,,71,,,,,,,,,,,,,,,,,,,,,
2024-12-03,6:00:00,,0.0,30.2,24.5,30.5,,,68,,,,,,,,,,,,,,,,,,,,,
2024-12-03,6:15:00,,0.0,30.4,24.5,30.8,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-03,6:30:00,,0.0,30.2,24.5,30.8,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-03,6:45:00,,0.0,30.3,24.5,30.8,,,65,,,,,,,,,,,,,,,,,,,,,
2024-12-03,7:00:00,,0.0,30.2,24.5,30.8,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-03,7:15:00,,0.0,30.6,24.5,30.8,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-03,7:30:00,,0.0,31.3,24.5,31.3,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-03,7:45:00,,0.0,31.3,24.5,31.4,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-03,8:00:00,,0.0,31.3,24.5,31.4,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-03,8:15:00,,0.0,31.3,24.5,31.6,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-03,8:30:00,,0.0,30.8,24.5,31.6,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-03,8:45:00,,0.0,31.5,24.5,31.6,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-03,9:00:00,,0.0,32.2,24.5,32.2,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-03,9:15:00,,0.0,32.4,24.5,32.6,,,59,,,,,,,,,,,,,,,,,,,,,
2024-12-03,9:30:00,,0.0,31.9,24.5,32.6,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-03,9:45:00,,0.0,31.6,24.5,32.6,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-03,10:00:00,,0.0,31.0,24.5,32.6,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-03,10:15:00,,0.0,31.0,24.5,32.6,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-03,10:30:00,,0.0,31.0,24.5,32.6,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-03,10:45:00,,0.0,30.8,24.5,32.6,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-03,11:00:00,,0.0,30.9,24.5,32.6,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-03,11:15:00,,0.0,30.5,24.5,32.6,,,65,,,,,,,,,,,,,,,,,,,,,
2024-12-03,11:30:00,,0.0,30.0,24.5,32.6,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-03,11:45:00,,0.0,29.8,24.5,32.6,,,65,,,,,,,,,,,,,,,,,,,,,
2024-12-03,12:00:00,,0.0,29.5,29.5,32.6,32.6,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-03,12:15:00,,0.0,29.3,29.3,29.5,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-03,12:30:00,,0.0,29.0,29.0,29.5,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-03,12:45:00,,0.0,28.8,28.7,29.5,,,68,,,,,,,,,,,,,,,,,,,,,
2024-12-03,13:00:00,,0.0,28.7,28.7,29.5,,,68,,,,,,,,,,,,,,,,,,,,,
2024-12-03,13:15:00,,0.0,28.5,28.6,29.5,,,69,,,,,,,,,,,,,,,,,,,,,
2024-12-03,13:30:00,,0.0,28.3,28.4,29.5,,,69,,,,,,,,,,,,,,,,,,,,,
2024-12-03,13:45:00,,0.0,28.3,28.3,29.5,,,69,,,,,,,,,,,,,,,,,,,,,
2024-12-03,14:00:00,,0.0,28.1,28.2,29.5,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-03,14:15:00,,0.0,27.9,28.0,29.5,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-03,14:30:00,,0.0,27.6,27.7,29.5,,,71,,,,,,,,,,,,,,,,,,,,,
2024-12-03,14:45:00,,0.0,27.3,27.3,29.5,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-03,15:00:00,,0.0,27.4,27.2,29.5,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-03,15:15:00,,0.0,27.4,27.2,29.5,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-03,15:30:00,,0.0,27.4,27.2,29.5,,,75,,,,,,,,,,,,,,,,,,,,,
2024-12-03,15:45:00,,0.0,27.2,27.2,29.5,,,76,,,,,,,,,,,,,,,,,,,,,
